time,Azimuth:,Pitch:,Roll:
0.024,1.994,-5.932,0.645
0.024,1.973,-5.932,0.645
0.085,-0.277,-3.016,-0.412
0.086,0.406,-3.016,-0.412
0.147,4.016,-5.804,1.288
0.148,4.689,-5.804,1.288
0.205,4.846,-4.084,1.220
0.205,4.924,-4.084,1.220
0.265,2.839,-4.929,0.376
0.266,3.498,-4.929,0.376
0.326,5.075,-3.786,0.967
0.326,5.849,-3.786,0.967
0.386,1.769,-4.160,-0.683
0.387,1.779,-4.160,-0.683
0.446,4.226,-4.666,0.367
0.447,4.893,-4.666,0.367
0.508,3.618,-3.942,-0.216
0.509,4.319,-3.942,-0.216
0.568,3.110,-4.577,-0.681
0.568,3.143,-4.577,-0.681
0.627,7.240,-4.400,1.062
0.628,7.900,-4.400,1.062
0.694,3.802,-4.748,-0.687
0.696,3.770,-4.748,-0.687
0.747,8.303,-3.400,1.142
0.748,7.513,-3.400,1.142
0.807,5.044,-4.115,0.142
0.808,4.988,-4.115,0.142
0.866,6.384,-4.030,0.758
0.867,6.387,-4.030,0.758
0.927,3.997,-4.684,-0.260
0.928,3.314,-4.684,-0.260
0.988,2.644,-4.684,-0.260
0.990,7.657,-3.295,1.915
1.050,2.825,-4.504,-0.184
1.051,3.473,-4.504,-0.184
1.107,4.152,-2.905,0.020
1.107,4.152,-2.905,0.020
1.167,4.434,-4.115,0.236
1.168,5.085,-4.115,0.236
1.227,4.539,-4.507,0.014
1.228,3.894,-4.507,0.014
1.287,2.949,-3.013,-0.499
1.288,3.621,-3.013,-0.499
1.347,6.780,-4.249,1.031
1.348,6.851,-4.249,1.031
1.411,5.978,-4.612,0.667
1.412,5.276,-4.612,0.667
1.467,2.749,-4.801,-0.504
1.468,3.432,-4.801,-0.504
1.526,4.214,-3.658,-0.220
1.527,4.941,-3.658,-0.220
1.587,4.801,-4.311,-0.229
1.588,4.801,-4.311,-0.229
1.649,5.435,-3.596,-0.007
1.650,5.427,-3.596,-0.007
1.707,7.036,-4.914,0.859
1.708,7.041,-4.914,0.859
1.767,5.716,-3.544,0.118
1.767,5.711,-3.544,0.118
1.831,6.006,-3.934,0.285
1.832,5.279,-3.934,0.285
1.887,4.207,-4.471,-0.148
1.888,4.238,-4.471,-0.148
1.950,4.913,-3.793,0.091
1.950,4.976,-3.793,0.091
2.006,4.459,-4.372,-0.085
2.007,5.181,-4.372,-0.085
2.071,5.737,-4.218,0.139
2.073,5.064,-4.218,0.139
2.128,4.563,-4.274,-0.071
2.130,4.607,-4.274,-0.071
2.190,4.641,-4.103,-0.070
2.191,4.655,-4.103,-0.070
2.248,6.274,-3.959,0.599
2.249,6.274,-3.959,0.599
2.310,5.107,-5.242,0.219
2.311,4.356,-5.242,0.219
2.367,4.894,-3.759,0.341
2.367,4.894,-3.759,0.341
2.427,4.122,-3.452,-0.014
2.427,4.085,-3.452,-0.014
2.490,4.957,-4.418,0.450
2.492,4.957,-4.418,0.450
2.547,4.908,-4.481,0.434
2.548,4.156,-4.481,0.434
2.607,3.795,-3.579,0.207
2.608,3.129,-3.579,0.207
2.670,2.970,-4.522,0.183
2.671,3.004,-4.522,0.183
2.726,4.294,-4.801,0.799
2.727,4.246,-4.801,0.799
2.787,2.848,-3.200,0.062
2.787,2.883,-3.200,0.062
2.847,3.275,-4.866,0.327
2.848,4.559,-4.866,0.327
2.906,4.557,-4.866,0.327
2.907,5.398,-4.541,0.690
2.967,4.336,-4.023,0.162
2.968,5.049,-4.023,0.162
3.029,4.468,-4.372,-0.069
3.031,3.806,-4.372,-0.069
3.087,6.570,-4.889,1.227
3.088,5.295,-4.889,1.227
3.154,3.213,-3.806,0.223
3.155,2.509,-3.806,0.223
3.208,2.852,-4.876,0.426
3.208,2.880,-4.876,0.426
3.267,3.855,-4.849,0.871
3.267,3.849,-4.849,0.871
3.327,3.024,-4.530,0.475
3.327,3.019,-4.530,0.475
3.387,3.661,-5.224,0.812
3.388,3.702,-5.224,0.812
3.447,1.333,-3.718,-0.321
3.448,1.333,-3.718,-0.321
3.507,2.674,-5.677,0.355
3.508,2.704,-5.677,0.355
3.567,4.093,-6.108,1.034
3.568,4.126,-6.108,1.034
3.627,3.686,-5.881,0.812
3.628,4.435,-5.881,0.812
3.687,4.841,-6.144,1.020
3.688,4.835,-6.144,1.020
3.747,4.498,-6.110,0.860
3.747,4.551,-6.110,0.860
3.807,3.595,-5.725,0.398
3.807,4.322,-5.725,0.398
3.868,4.148,-6.697,0.388
3.869,3.450,-6.697,0.388
3.927,4.954,-6.278,1.052
3.928,4.302,-6.278,1.052
3.995,2.551,-5.345,0.216
3.997,2.613,-5.345,0.216
4.047,4.941,-7.612,1.401
4.048,4.252,-7.612,1.401
4.110,2.591,-7.017,0.592
4.112,2.617,-7.017,0.592
4.170,4.434,-6.979,1.422
4.171,3.876,-6.979,1.422
4.227,3.657,-8.299,1.405
4.228,3.708,-8.299,1.405
4.291,3.487,-7.672,1.267
4.292,2.866,-7.672,1.267
4.347,4.479,-8.943,2.076
4.348,4.565,-8.943,2.076
4.409,3.599,-8.908,1.634
4.410,3.039,-8.908,1.634
4.470,2.365,-9.116,1.345
4.472,2.382,-9.116,1.345
4.527,2.930,-9.403,1.600
4.527,2.287,-9.403,1.600
4.590,2.177,-10.967,1.608
4.591,3.590,-10.967,1.608
4.649,4.002,-11.780,1.845
4.650,4.139,-11.780,1.845
4.712,3.410,-11.699,1.515
4.713,3.523,-11.699,1.515
4.769,3.789,-11.791,1.635
4.771,3.940,-11.791,1.635
4.827,4.059,-12.505,1.732
4.827,4.884,-12.505,1.732
4.887,6.614,-12.688,2.477
4.888,6.082,-12.688,2.477
4.950,5.377,-14.109,2.311
4.951,5.516,-14.109,2.311
5.007,4.321,-13.577,1.771
5.008,4.428,-13.577,1.771
5.068,5.176,-13.505,2.066
5.070,4.556,-13.505,2.066
5.127,4.163,-14.047,1.949
5.127,4.270,-14.047,1.949
5.187,9.598,-15.166,4.217
5.187,9.087,-15.166,4.217
5.247,5.085,-15.746,2.656
5.248,5.261,-15.746,2.656
5.307,3.638,-15.464,2.002
5.308,3.762,-15.464,2.002
5.370,5.134,-16.283,2.588
5.371,5.336,-16.283,2.588
5.436,3.529,-16.500,1.921
5.436,3.563,-16.500,1.921
5.487,9.817,-16.640,4.308
5.487,11.157,-16.640,4.308
5.547,4.248,-18.369,1.928
5.548,4.374,-18.369,1.928
5.607,7.699,-19.107,3.274
5.607,7.996,-19.107,3.274
5.669,5.741,-19.114,2.428
5.671,5.979,-19.114,2.428
5.727,3.498,-19.612,1.567
5.727,3.651,-19.612,1.567
5.787,5.128,-20.716,2.179
5.787,5.332,-20.716,2.179
5.847,6.650,-21.575,2.743
5.848,6.815,-21.575,2.743
5.907,6.452,-22.027,2.659
5.908,7.523,-22.027,2.659
5.967,5.339,-22.159,1.894
5.968,5.559,-22.159,1.894
6.027,5.937,-22.422,2.049
6.028,7.917,-22.422,2.049
6.086,8.643,-23.596,2.461
6.086,8.996,-23.596,2.461
6.149,8.491,-22.168,2.086
6.150,8.843,-22.168,2.086
6.209,11.313,-24.186,3.227
6.211,10.767,-24.186,3.227
6.267,8.762,-23.943,2.527
6.267,9.919,-23.943,2.527
6.327,10.868,-24.391,2.912
6.328,10.478,-24.391,2.912
6.387,9.061,-24.960,2.559
6.388,9.377,-24.960,2.559
6.450,14.919,-26.256,4.626
6.451,14.486,-26.256,4.626
6.507,8.604,-25.452,2.599
6.507,8.757,-25.452,2.599
6.566,14.976,-27.981,5.146
6.567,15.547,-27.981,5.146
6.628,10.280,-27.653,3.306
6.628,10.730,-27.653,3.306
6.690,9.585,-28.643,3.109
6.691,9.943,-28.643,3.109
6.747,8.560,-29.919,2.855
6.747,9.032,-29.919,2.855
6.810,11.011,-30.486,3.599
6.811,12.497,-30.486,3.599
6.867,10.946,-31.779,3.349
6.868,11.511,-31.779,3.349
6.927,11.084,-31.346,3.128
6.928,12.724,-31.346,3.128
6.987,11.464,-31.321,2.747
6.988,12.064,-31.321,2.747
7.047,15.631,-34.045,4.521
7.047,17.551,-34.045,4.521
7.111,13.792,-33.712,3.239
7.112,14.670,-33.712,3.239
7.170,16.497,-35.560,4.324
7.171,17.518,-35.560,4.324
7.227,16.717,-33.163,3.344
7.228,19.426,-33.163,3.344
7.287,16.869,-36.294,3.681
7.288,21.416,-36.294,3.681
7.347,18.419,-34.619,2.230
7.348,19.273,-34.619,2.230
7.410,18.771,-37.689,3.191
7.411,20.507,-37.689,3.191
7.471,21.893,-37.703,3.611
7.472,25.461,-37.703,3.611
7.527,23.813,-38.266,3.387
7.528,25.311,-38.266,3.387
7.590,23.475,-39.031,3.215
7.591,23.473,-39.031,3.215
7.650,19.179,-41.162,2.821
7.651,23.283,-41.162,2.821
7.707,26.457,-40.397,3.379
7.708,29.966,-40.397,3.379
7.769,25.311,-41.274,2.561
7.770,28.059,-41.274,2.561
7.828,32.308,-41.069,3.633
7.830,37.953,-41.069,3.633
7.891,33.089,-41.700,2.732
7.892,34.586,-41.700,2.732
7.950,28.728,-44.085,2.716
7.953,30.906,-44.085,2.716
8.011,35.719,-44.797,4.694
8.012,39.785,-44.797,4.694
8.070,30.100,-46.938,3.151
8.071,33.011,-46.938,3.151
8.130,30.243,-48.167,3.113
8.131,32.934,-48.167,3.113
8.191,36.316,-47.328,3.545
8.192,39.476,-47.328,3.545
8.247,31.261,-49.429,2.601
8.248,34.915,-49.429,2.601
8.307,41.617,-48.370,3.826
8.307,45.922,-48.370,3.826
8.367,37.735,-50.695,3.508
8.368,40.198,-50.695,3.508
8.432,28.149,-51.509,0.357
8.435,30.918,-51.509,0.357
8.487,36.774,-51.655,2.240
8.488,44.426,-51.655,2.240
8.547,43.505,-53.158,3.652
8.548,44.129,-53.158,3.652
8.607,41.945,-54.163,3.993
8.608,45.385,-54.163,3.993
8.675,44.555,-54.457,4.045
8.677,47.613,-54.457,4.045
8.730,41.197,-55.063,2.548
8.731,44.328,-55.063,2.548
8.789,52.870,-54.644,5.025
8.790,54.797,-54.644,5.025
8.851,43.842,-55.779,2.703
8.852,47.927,-55.779,2.703
8.907,42.674,-56.493,1.865
8.908,45.132,-56.493,1.865
8.967,53.519,-56.600,5.167
8.968,55.756,-56.600,5.167
9.027,44.569,-58.350,3.314
9.027,46.299,-58.350,3.314
9.087,54.303,-55.914,2.521
9.088,61.226,-55.914,2.521
9.150,57.972,-56.876,3.200
9.151,61.176,-56.876,3.200
9.210,53.887,-59.103,4.510
9.211,56.966,-59.103,4.510
9.270,57.167,-59.101,4.592
9.271,60.505,-59.101,4.592
9.327,55.430,-59.963,4.138
9.328,56.142,-59.963,4.138
9.387,70.402,-57.181,3.700
9.387,69.038,-57.181,3.700
9.450,63.210,-58.204,3.787
9.452,66.097,-58.204,3.787
9.507,51.934,-61.379,4.501
9.507,54.951,-61.379,4.501
9.567,54.154,-61.754,4.863
9.568,57.279,-61.754,4.863
9.630,60.472,-60.697,3.960
9.631,63.652,-60.697,3.960
9.687,60.525,-60.691,2.631
9.688,68.815,-60.691,2.631
9.751,69.084,-61.538,5.361
9.752,71.878,-61.538,5.361
9.811,61.830,-62.652,3.670
9.813,66.047,-62.652,3.670
9.871,64.240,-63.559,5.256
9.872,67.982,-63.559,5.256
9.929,77.027,-62.137,5.648
9.931,81.657,-62.137,5.648
9.990,76.331,-62.987,5.721
9.991,80.014,-62.987,5.721
10.050,62.348,-66.323,6.590
10.051,69.533,-66.323,6.590
10.110,67.199,-66.082,4.575
10.111,69.400,-66.082,4.575
10.167,87.277,-63.739,5.804
10.168,91.412,-63.739,5.804
10.227,83.608,-64.935,6.231
10.228,86.762,-64.935,6.231
10.292,69.257,-67.510,5.896
10.293,69.107,-67.510,5.896
10.347,70.682,-67.635,7.207
10.348,67.796,-67.635,7.207
10.410,75.892,-66.639,8.511
10.411,76.553,-66.639,8.511
10.470,63.257,-68.121,6.194
10.471,66.420,-68.121,6.194
10.530,61.564,-69.942,9.030
10.531,63.817,-69.942,9.030
10.591,70.613,-69.346,11.151
10.592,73.847,-69.346,11.151
10.650,57.236,-70.044,4.606
10.651,63.926,-70.044,4.606
10.710,78.040,-68.581,6.252
10.711,85.822,-68.581,6.252
10.770,81.392,-69.787,9.697
10.771,84.029,-69.787,9.697
10.831,79.024,-70.208,8.127
10.832,87.335,-70.208,8.127
10.890,83.822,-70.345,6.021
10.891,87.864,-70.345,6.021
10.950,84.283,-71.083,8.118
10.951,85.561,-71.083,8.118
11.009,71.816,-72.681,7.014
11.011,74.711,-72.681,7.014
11.070,80.408,-72.500,10.044
11.071,84.753,-72.500,10.044
11.129,83.687,-72.328,8.074
11.130,87.919,-72.328,8.074
11.191,88.271,-72.358,8.636
11.192,90.919,-72.358,8.636
11.250,78.221,-73.870,7.450
11.251,84.153,-73.870,7.450
11.307,89.019,-73.588,9.992
11.307,89.341,-73.588,9.992
11.370,85.651,-73.619,6.701
11.371,86.208,-73.619,6.701
11.428,85.462,-74.035,8.839
11.430,85.962,-74.035,8.839
11.489,87.327,-73.944,9.495
11.490,91.939,-73.944,9.495
11.547,89.285,-74.488,10.653
11.547,90.885,-74.488,10.653
11.607,92.394,-73.960,8.209
11.608,96.902,-73.960,8.209
11.669,89.346,-75.160,9.856
11.671,95.190,-75.160,9.856
11.727,98.345,-74.794,10.649
11.728,98.345,-74.794,10.649
11.791,89.696,-76.006,10.441
11.792,92.848,-76.006,10.441
11.850,81.621,-77.041,7.341
11.851,85.889,-77.041,7.341
11.910,92.494,-76.699,11.316
11.911,97.855,-76.699,11.316
11.966,101.816,-75.871,8.303
11.967,101.816,-75.871,8.303
12.032,101.101,-76.280,11.817
12.033,105.136,-76.280,11.817
12.086,92.753,-77.827,9.623
12.087,94.074,-77.827,9.623
12.147,99.562,-77.480,13.521
12.148,98.014,-77.480,13.521
12.207,101.279,-76.854,12.456
12.208,102.871,-76.854,12.456
12.267,100.511,-77.273,13.073
12.268,102.477,-77.273,13.073
12.327,88.555,-78.610,7.997
12.328,88.235,-78.610,7.997
12.386,97.991,-78.051,14.232
12.386,97.258,-78.051,14.232
12.447,89.445,-79.098,14.063
12.447,92.920,-79.098,14.063
12.510,98.268,-78.761,17.468
12.511,98.268,-78.761,17.468
12.567,106.142,-77.223,12.484
12.567,106.016,-77.223,12.484
12.630,87.456,-79.448,10.896
12.632,90.097,-79.448,10.896
12.690,97.374,-79.028,15.544
12.691,102.519,-79.028,15.544
12.748,90.439,-80.743,15.374
12.748,94.121,-80.743,15.374
12.810,106.820,-78.717,13.890
12.811,108.775,-78.717,13.890
12.867,112.652,-77.965,11.828
12.867,114.989,-77.965,11.828
12.927,101.733,-79.735,10.691
12.928,103.842,-79.735,10.691
12.988,110.478,-79.347,17.325
12.988,110.752,-79.347,17.325
13.047,109.641,-79.536,17.427
13.048,109.913,-79.536,17.427
13.108,108.311,-79.776,17.279
13.108,108.388,-79.776,17.279
13.167,108.935,-79.588,15.994
13.169,108.728,-79.588,15.994
13.227,109.263,-79.679,18.092
13.228,109.355,-79.679,18.092
13.289,105.745,-80.261,19.134
13.291,105.745,-80.261,19.134
13.347,94.912,-81.350,16.106
13.348,94.611,-81.350,16.106
13.411,101.071,-80.237,12.284
13.412,101.454,-80.237,12.284
13.467,106.583,-79.859,15.590
13.468,106.901,-79.859,15.590
13.527,89.439,-82.337,17.969
13.528,91.753,-82.337,17.969
13.590,115.228,-78.956,16.416
13.591,115.489,-78.956,16.416
13.650,113.804,-79.160,15.728
13.651,117.429,-79.160,15.728
13.707,99.634,-81.501,16.150
13.708,101.953,-81.501,16.150
13.767,110.119,-81.039,23.252
13.768,113.323,-81.039,23.252
13.831,113.760,-80.506,17.131
13.832,117.320,-80.506,17.131
13.890,113.148,-81.198,18.189
13.892,116.683,-81.198,18.189
13.947,111.441,-82.038,18.961
13.948,111.208,-82.038,18.961
14.011,116.405,-81.499,21.836
14.013,118.451,-81.499,21.836
14.067,121.260,-80.707,16.042
14.068,124.755,-80.707,16.042
14.127,125.883,-80.669,19.070
14.128,124.944,-80.669,19.070
14.190,117.283,-81.701,17.156
14.192,116.689,-81.701,17.156
14.246,117.610,-81.796,20.464
14.247,119.713,-81.796,20.464
14.310,118.657,-81.803,18.141
14.312,114.574,-81.803,18.141
14.367,105.729,-82.866,16.819
14.368,99.552,-82.866,16.819
14.426,123.588,-79.966,23.559
14.427,123.312,-79.966,23.559
14.486,111.835,-81.242,15.839
14.487,108.442,-81.242,15.839
14.548,106.613,-81.664,18.175
14.549,106.915,-81.664,18.175
14.607,103.714,-81.796,14.986
14.607,104.017,-81.796,14.986
14.668,104.524,-82.240,20.284
14.668,108.301,-82.240,20.284
14.730,114.368,-81.553,22.804
14.731,117.524,-81.553,22.804
14.787,114.164,-81.747,18.897
14.788,115.628,-81.747,18.897
14.847,118.170,-81.599,21.943
14.848,120.233,-81.599,21.943
14.907,117.901,-81.736,18.853
14.908,119.888,-81.736,18.853
14.970,115.391,-82.436,19.446
14.971,117.220,-82.436,19.446
15.031,121.732,-81.944,22.091
15.032,121.732,-81.944,22.091
15.090,122.180,-81.620,18.389
15.091,123.884,-81.620,18.389
15.150,125.679,-81.425,20.059
15.151,126.799,-81.425,20.059
15.210,117.172,-83.141,21.975
15.211,120.789,-83.141,21.975
15.270,117.722,-83.425,19.930
15.271,117.526,-83.425,19.930
15.327,132.126,-81.096,21.320
15.328,131.748,-81.096,21.320
15.386,126.358,-81.901,18.153
15.387,125.236,-81.901,18.153
15.450,123.134,-82.551,22.637
15.452,121.143,-82.551,22.637
15.508,130.240,-80.799,21.082
15.508,122.924,-80.799,21.082
15.567,111.773,-82.095,15.546
15.568,107.757,-82.095,15.546
15.632,113.422,-81.410,16.602
15.633,106.483,-81.410,16.602
15.687,104.260,-82.336,22.811
15.688,106.139,-82.336,22.811
15.747,118.826,-79.969,17.629
15.747,113.681,-79.969,17.629
15.811,117.062,-79.173,13.085
15.812,117.509,-79.173,13.085
15.870,104.612,-81.203,16.962
15.871,102.508,-81.203,16.962
15.930,108.535,-80.791,21.506
15.931,111.580,-80.791,21.506
15.989,108.785,-80.246,9.434
15.990,106.458,-80.246,9.434
16.050,110.100,-80.718,21.351
16.051,109.853,-80.718,21.351
16.107,108.034,-80.183,11.910
16.108,108.034,-80.183,11.910
16.167,131.963,-76.318,11.350
16.168,132.766,-76.318,11.350
